object,size,altitude,visibility-1,visibility-3,visibility-5,visibility-10,visibility-15,visibility-20,visibility-30
boat_sail,20,1500,0.4,1.8,2.8,4.2,5.2,5.8,5.8
boat_sail,25,1500,0.5,2.1,3.2,5.1,6.3,7.2,7.2
boat_sail,30,1500,0.5,2.3,3.7,6.1,7.7,9,10.8
boat_sail,40,1500,0.5,2.6,4.3,7.6,10.1,12,14.9
boat_sail,50,1500,0.5,2.7,4.6,8.5,11.4,13.8,17.5
boat_sail,70,1500,0.5,2.8,4.9,9.4,12.8,15.7,20.2
boat_sail,83,1500,0.5,2.8,5.1,10,13.8,17.1,22.3
ship,120,1500,0.5,2.9,5.4,11.1,16,20.1,27
ship,225,1500,0.5,3,5.7,12.5,18.9,24.7,34.9
ship,300,1500,0.6,3,5.8,13.2,20.7,27.9,41.4
piw,1,2000,0,0,0,0,0,0,0.1
raft,1,2000,0.1,0.6,0.9,1.2,1.4,1.4,1.4
raft,4,2000,0.2,0.9,1.3,1.9,2.2,2.3,2.3
raft,6,2000,0.2,1.1,1.6,2.3,2.7,2.9,2.9
raft,8,2000,0.2,1.2,1.7,2.5,2.9,3.2,3.2
raft,10,2000,0.2,1.2,1.8,2.7,3.1,3.5,3.5
raft,15,2000,0.2,1.4,2,3,3.5,3.9,4.4
raft,20,2000,0.4,1.5,2.2,3.4,4,4.5,5.1
raft,25,2000,0.3,1.6,2.4,3.6,4.4,4.9,5.7
boat_power,15,2000,0.2,1,1.3,1.8,2,2.2,2.2
boat_power,20,2000,0.3,1.7,2.5,3.8,4.6,5.1,5.1
boat_power,33,2000,0.3,2.2,3.4,5.5,6.9,8,9.5
boat_power,53,2000,0.4,2.6,4.5,8.3,11,13.3,16.7
boat_power,78,2000,0.4,2.8,5,9.8,13.6,16.8,21.8
boat_sail,15,2000,0.3,1.6,2.3,3.5,4.1,4.5,4.5
boat_sail,20,2000,0.3,1.8,2.8,4.3,5.2,5.9,5.9
boat_sail,25,2000,0.3,2.1,3.3,5.2,6.4,7.3,7.3
boat_sail,30,2000,0.3,2.3,3.7,6.1,7.8,9.1,10.9
boat_sail,40,2000,0.4,2.5,4.3,7.7,10.1,12.1,15
boat_sail,50,2000,0.4,2.7,4.6,8.6,11.5,13.9,17.5
boat_sail,70,2000,0.4,2.7,4.9,9.4,12.9,15.7,20.2
boat_sail,83,2000,0.4,2.8,5.1,10,13.9,17.1,22.3
ship,120,2000,0.4,2.9,5.4,11.1,16,20.1,27.1
ship,225,2000,0.4,3,5.7,12.5,18.9,24.7,34.9
ship,300,2000,0.5,3,5.8,13.2,20.7,27.9,41.5
piw,1,2500,0,0,0,0,0,0,0
raft,1,2500,0.1,0.5,0.8,1.2,1.4,1.4,1.4
raft,4,2500,0.1,0.8,1.3,1.8,2.2,2.4,2.4
raft,6,2500,0.1,1,1.5,2.3,2.7,2.9,2.9
raft,8,2500,0.1,1.1,1.7,2.5,2.9,3.2,3.2
raft,10,2500,0.2,1.2,1.8,2.7,3.2,3.5,3.5
raft,15,2500,0.2,1.3,2,3,3.6,4,4.5
raft,20,2500,0.2,1.4,2.2,3.4,4.1,4.6,5.2
raft,25,2500,0.2,1.5,2.4,3.7,4.5,5,5.7
boat_power,15,2500,0.1,0.9,1.3,1.8,2.1,2.2,2.2
boat_power,20,2500,0.2,1.6,2.5,3.8,4.6,5.2,5.2
boat_power,33,2500,0.2,2.1,3.4,5.6,7,8.1,9.6
boat_power,53,2500,0.3,2.6,4.5,8.3,11.3,13.3,16.7
boat_power,78,2500,0.3,2.7,5,9.8,13.6,16.8,21.9
boat_sail,15,2500,0.2,1.5,2.3,3.5,4.2,4.7,4.7
boat_sail,20,2500,0.2,1.8,2.8,4.3,5.3,6,6
